word,pos,inverted_frequency_score
the,PRON,0.0
of,ADP,0.0
and,CCONJ,0.0
to,PART,0.0
a,PRON,0.0
in,ADP,0.0
for,ADP,0.0
is,AUX,0.0
on,ADP,0.0
that,PRON,0.0
by,ADP,0.0
this,PRON,0.0
with,ADP,0.0
i,PRON,0.0
you,PRON,0.0
it,PRON,0.0
not,PART,0.0
or,CCONJ,0.0
be,AUX,0.0
are,AUX,0.0
from,ADP,0.0
at,ADP,0.0
as,ADP,0.0
your,PRON,0.0
all,ADV,0.0
have,VERB,0.0
new,ADJ,0.0
more,ADJ,0.0
an,PRON,0.0
was,AUX,0.0
we,PRON,0.0
will,AUX,0.0
home,NOUN,0.001
can,AUX,0.001
us,PRON,0.001
about,ADP,0.001
if,SCONJ,0.001
page,NOUN,0.001
my,PRON,0.001
has,VERB,0.001
search,NOUN,0.001
free,ADJ,0.001
but,CCONJ,0.001
our,PRON,0.001
other,ADJ,0.001
do,VERB,0.001
no,PRON,0.001
information,NOUN,0.001
time,NOUN,0.001
they,PRON,0.001
site,NOUN,0.001
he,PRON,0.001
up,ADP,0.001
may,AUX,0.001
what,PRON,0.001
which,PRON,0.001
their,PRON,0.001
news,NOUN,0.001
out,ADP,0.001
use,VERB,0.001
any,PRON,0.001
there,PRON,0.001
see,VERB,0.001
only,ADV,0.001
so,ADV,0.001
his,PRON,0.001
when,SCONJ,0.001
contact,NOUN,0.001
here,ADV,0.001
business,NOUN,0.001
who,PRON,0.001
web,NOUN,0.001
also,ADV,0.001
now,ADV,0.001
help,VERB,0.001
get,VERB,0.001
pm,NOUN,0.001
view,VERB,0.001
online,NOUN,0.001
first,ADV,0.001
am,AUX,0.001
been,AUX,0.001
would,AUX,0.001
how,SCONJ,0.001
were,AUX,0.001
me,PRON,0.001
services,NOUN,0.001
some,PRON,0.001
these,PRON,0.001
click,VERB,0.001
its,PRON,0.001
like,INTJ,0.001
service,NOUN,0.001
than,ADP,0.001
find,VERB,0.001
price,NOUN,0.001
date,NOUN,0.002
back,ADV,0.002
top,NOUN,0.002
people,NOUN,0.002
had,VERB,0.002
list,NOUN,0.002
name,VERB,0.002
just,ADV,0.002
over,ADP,0.002
state,NOUN,0.002
year,NOUN,0.002
day,NOUN,0.002
into,ADP,0.002
email,NOUN,0.002
health,NOUN,0.002
n,CCONJ,0.002
world,NOUN,0.002
re,VERB,0.002
next,ADJ,0.002
used,VERB,0.002
go,VERB,0.002
work,VERB,0.002
last,ADJ,0.002
most,ADJ,0.002
products,NOUN,0.002
music,NOUN,0.002
buy,VERB,0.002
data,NOUN,0.002
make,VERB,0.002
them,PRON,0.002
should,AUX,0.002
product,NOUN,0.002
system,NOUN,0.002
post,VERB,0.002
her,PRON,0.002
city,NOUN,0.002
add,VERB,0.002
policy,NOUN,0.002
number,NOUN,0.002
such,ADJ,0.002
please,INTJ,0.002
available,ADJ,0.002
copyright,NOUN,0.002
support,VERB,0.002
message,NOUN,0.002
after,ADP,0.002
best,ADJ,0.002
software,NOUN,0.002
then,ADV,0.002
good,ADJ,0.002
well,ADV,0.002
where,SCONJ,0.002
info,NOUN,0.002
rights,NOUN,0.002
public,ADJ,0.002
books,NOUN,0.002
high,ADJ,0.002
school,NOUN,0.002
through,ADP,0.002
m,VERB,0.002
each,PRON,0.002
links,NOUN,0.002
she,PRON,0.002
review,VERB,0.003
years,NOUN,0.003
order,NOUN,0.003
very,ADV,0.003
privacy,NOUN,0.003
book,NOUN,0.003
items,NOUN,0.003
company,NOUN,0.003
read,VERB,0.003
group,NOUN,0.003
sex,NOUN,0.003
need,VERB,0.003
many,ADJ,0.003
user,NOUN,0.003
said,VERB,0.003
de,ADP,0.003
does,VERB,0.003
set,VERB,0.003
under,ADP,0.003
general,ADJ,0.003
research,NOUN,0.003
university,NOUN,0.003
mail,NOUN,0.003
full,ADJ,0.003
map,VERB,0.003
reviews,NOUN,0.003
program,NOUN,0.003
life,NOUN,0.003
know,VERB,0.003
games,NOUN,0.003
